x,z,y
0.25,8.0,497.0
0.25,9.0,3713.0
0.25,10.0,5715.0
0.25,11.0,7037.0
0.25,12.0,7986.0
0.25,13.0,8771.0
0.25,14.0,9429.0
0.5,3.0,552.0
0.5,8.0,2080.0
0.5,9.0,4863.0
0.5,10.0,6656.0
0.5,11.0,7929.0
0.5,12.0,8845.0
0.5,13.0,9601.0
0.5,14.0,10210.0
0.75,2.0,718.0
0.75,3.0,927.0
0.75,4.0,515.0
0.75,5.0,283.0
0.75,6.0,359.0
0.75,7.0,1160.0
0.75,8.0,3490.0
0.75,9.0,5950.0
0.75,10.0,7612.0
0.75,11.0,8785.0
0.75,12.0,9688.0
0.75,13.0,10398.0
0.75,14.0,10939.0
1.0,1.0,1014.0
1.0,2.0,1438.0
1.0,3.0,1534.0
1.0,4.0,1366.0
1.0,5.0,1317.0
1.0,6.0,1543.0
1.0,7.0,2609.0
1.0,8.0,4803.0
1.0,9.0,6980.0
1.0,10.0,8545.0
1.0,11.0,9613.0
1.0,12.0,10459.0
1.0,13.0,11128.0
1.0,14.0,11605.0
1.5,0.0,346.0
1.5,1.0,2172.0
1.5,2.0,2685.0
1.5,3.0,2827.0
1.5,4.0,3018.0
1.5,5.0,3288.0
1.5,6.0,3878.0
1.5,7.0,5217.0
1.5,8.0,7063.0
1.5,9.0,8865.0
1.5,10.0,10205.0
1.5,11.0,11102.0
1.5,12.0,11796.0
1.5,13.0,12331.0
1.5,14.0,12759.0
2.0,0.0,845.0
2.0,1.0,3252.0
2.0,2.0,3937.0
2.0,3.0,4425.0
2.0,4.0,4709.0
2.0,5.0,5197.0
2.0,6.0,6171.0
2.0,7.0,7520.0
2.0,8.0,9068.0
2.0,9.0,10471.0
2.0,10.0,11518.0
2.0,11.0,12259.0
2.0,12.0,12825.0
2.0,13.0,13267.0
2.0,14.0,13603.0
3.0,0.0,2873.0
3.0,1.0,5832.0
3.0,2.0,6913.0
3.0,3.0,7795.0
3.0,4.0,8619.0
3.0,5.0,9472.0
3.0,6.0,10362.0
3.0,7.0,11257.0
3.0,8.0,12079.0
3.0,9.0,12739.0
3.0,10.0,13246.0
3.0,11.0,13645.0
3.0,12.0,13902.0
3.0,13.0,14000.0
3.0,14.0,14000.0
4.0,0.0,5485.0
4.0,1.0,8689.0
4.0,2.0,10075.0
4.0,3.0,11141.0
4.0,4.0,12005.0
4.0,5.0,12631.0
4.0,6.0,13115.0
4.0,7.0,13488.0
4.0,8.0,13736.0
4.0,9.0,13895.0
4.0,10.0,13981.0
4.0,11.0,14000.0
4.0,12.0,14000.0
4.0,13.0,14000.0
4.0,14.0,14000.0
5.0,0.0,8266.0
5.0,1.0,11455.0
5.0,2.0,12614.0
5.0,3.0,13290.0
5.0,4.0,13730.0
5.0,5.0,13962.0
5.0,6.0,14000.0
5.0,7.0,14000.0
5.0,8.0,14000.0
5.0,9.0,14000.0
5.0,10.0,14000.0
5.0,11.0,14000.0
5.0,12.0,14000.0
5.0,13.0,14000.0
5.0,14.0,14000.0
6.0,0.0,10930.0
6.0,1.0,13275.0
6.0,2.0,13824.0
6.0,3.0,14000.0
6.0,4.0,14000.0
6.0,5.0,14000.0
6.0,6.0,14000.0
6.0,7.0,14000.0
6.0,8.0,14000.0
6.0,9.0,14000.0
6.0,10.0,14000.0
6.0,11.0,14000.0
6.0,12.0,14000.0
6.0,13.0,14000.0
6.0,14.0,14000.0
7.0,0.0,12301.0
7.0,1.0,13851.0
7.0,2.0,14000.0
7.0,3.0,14000.0
7.0,4.0,14000.0
7.0,5.0,14000.0
7.0,6.0,14000.0
7.0,7.0,14000.0
7.0,8.0,14000.0
7.0,9.0,14000.0
7.0,10.0,14000.0
7.0,11.0,14000.0
7.0,12.0,14000.0
7.0,13.0,14000.0
7.0,14.0,14000.0
15.0,0.0,11393.0
15.0,1.0,13561.0
15.0,2.0,13846.0
15.0,3.0,14000.0
15.0,4.0,14000.0
15.0,5.0,14000.0
15.0,6.0,14000.0
15.0,7.0,14000.0
15.0,8.0,14000.0
15.0,9.0,14000.0
15.0,10.0,14000.0
15.0,11.0,14000.0
15.0,12.0,14000.0
15.0,13.0,14000.0
